,sex,age_cat,race,priors_count,c_charge_degree,two_year_recid
2135,Male,Less than 25,1,1,F,1
2137,Male,Less than 25,1,1,F,1
2138,Male,Less than 25,1,0,F,0
2139,,25 - 45,1,4,F,1
2141,Male,25 - 45,0,3,F,1
2142,Male,Greater than 45,0,0,M,0
2143,Male,25 - 45,0,11,F,1
2147,Male,25 - 45,1,,F,1
2148,Male,25 - 45,1,15,F,0
2149,Male,25 - 45,1,0,F,0
2150,Male,25 - 45,1,8,M,1
2152,Female,25 - 45,0,0,F,0
2155,Male,25 - 45,0,6,M,0
2156,Male,25 - 45,1,3,F,1
2157,Male,Greater than 45,0,,F,1
2159,,25 - 45,0,2,F,1
2160,Male,25 - 45,1,3,F,0
2161,,Greater than 45,0,3,F,0
2162,Male,25 - 45,0,1,M,0
2163,Male,25 - 45,0,5,F,1
2165,Male,Greater than 45,0,,M,0
2166,Male,25 - 45,0,2,F,0
2167,Male,Greater than 45,0,0,M,0
2168,Female,25 - 45,0,4,M,1
2169,Male,Greater than 45,0,9,F,0
2170,Female,25 - 45,0,0,F,0
2171,Male,Less than 25,0,0,F,0
2172,,Less than 25,1,0,F,1
2173,Male,25 - 45,1,4,M,1
2174,Male,Greater than 45,0,0,M,0
2178,Male,25 - 45,0,0,M,1
2181,Male,25 - 45,0,3,F,1
2183,Male,25 - 45,1,14,F,1
2184,Male,Less than 25,1,0,M,0
2185,Male,Greater than 45,0,0,F,0
2188,Male,25 - 45,1,0,M,1
2189,Male,Less than 25,1,1,F,1
2190,Male,25 - 45,1,2,F,1
2191,Female,25 - 45,0,2,F,0
2192,Female,25 - 45,1,7,F,1
2193,Male,25 - 45,0,7,F,1
2194,,25 - 45,1,0,M,1
2195,Male,25 - 45,1,1,F,0
2196,Female,25 - 45,1,3,F,1
2197,Male,25 - 45,1,1,F,1
2198,Male,Greater than 45,0,3,F,0
2199,,25 - 45,1,0,F,0
2201,Male,25 - 45,1,15,F,1
2202,Male,Greater than 45,1,6,F,1
2203,Male,25 - 45,1,1,F,0
2204,Male,Less than 25,1,17,F,1
2208,Male,Less than 25,1,0,F,0
2211,Female,25 - 45,0,0,F,0
2213,Female,Greater than 45,1,1,F,0
2216,Male,Less than 25,0,1,F,0
2217,Male,Greater than 45,1,7,M,0
2218,Male,25 - 45,0,6,F,1
2219,,Greater than 45,1,1,M,1
2220,Male,Greater than 45,0,0,M,0
2221,Female,25 - 45,1,9,M,1
2222,Male,Greater than 45,0,,M,0
2224,Male,Less than 25,0,3,F,1
2227,Male,Greater than 45,1,1,M,0
2228,Male,Less than 25,1,3,F,1
2232,Male,Greater than 45,1,2,F,0
2233,Female,25 - 45,1,7,F,0
2234,Male,Less than 25,0,0,M,1
2235,Male,Greater than 45,0,1,M,0
2236,Female,Less than 25,0,0,F,1
2237,Male,Less than 25,1,0,M,0
2238,Male,Greater than 45,1,,F,0
2239,Female,25 - 45,0,0,F,0
2240,Male,25 - 45,0,0,M,0
2241,Male,25 - 45,0,,F,1
2242,Male,25 - 45,1,2,F,1
2243,,25 - 45,0,3,F,0
2244,Male,25 - 45,1,,M,1
2245,Male,25 - 45,1,,F,1
2246,Male,25 - 45,1,,F,0
2247,,25 - 45,0,0,F,1
2248,Female,25 - 45,0,2,F,0
2250,Male,25 - 45,1,21,F,1
2251,Female,25 - 45,0,0,M,0
2252,Male,Less than 25,1,0,F,1
2253,Female,25 - 45,1,0,M,0
2255,Female,Less than 25,0,0,F,0
2256,Male,25 - 45,0,0,M,1
2257,Male,25 - 45,0,0,F,0
2259,Male,Greater than 45,0,0,F,1
2260,Male,25 - 45,1,11,F,1
2261,Male,25 - 45,0,0,F,1
2262,Male,25 - 45,0,1,M,0
2264,Female,25 - 45,1,12,F,1
2265,Male,25 - 45,1,19,M,1
2266,,Greater than 45,0,2,M,0
2267,Male,25 - 45,1,3,F,0
2268,Male,Greater than 45,1,15,F,1
2269,Male,25 - 45,1,9,F,1
2270,Female,25 - 45,1,1,F,0
2272,Male,Greater than 45,1,1,F,0
2273,Male,25 - 45,0,1,M,0
2275,Male,25 - 45,0,1,M,1
2276,Male,25 - 45,0,1,F,0
2277,Male,Less than 25,0,1,F,1
2279,Male,25 - 45,1,3,F,1
2280,Male,Less than 25,1,1,F,1
2281,Male,25 - 45,0,4,F,1
2282,Male,25 - 45,0,,F,0
2283,Male,25 - 45,1,6,M,1
2284,Female,Less than 25,1,4,F,1
2286,Female,25 - 45,1,,M,1
2287,Male,25 - 45,0,0,M,0
2288,,Greater than 45,1,22,F,1
2289,Male,25 - 45,1,4,F,1
2290,Male,Greater than 45,0,7,F,0
2291,Male,25 - 45,0,2,F,0
2292,Female,Less than 25,1,1,F,0
2294,,Less than 25,1,3,F,0
2295,Male,25 - 45,1,2,F,0
2296,Male,25 - 45,1,7,F,1
2298,Male,25 - 45,0,2,M,0
2299,Male,Less than 25,1,6,F,1
2301,Male,25 - 45,1,2,M,0
2302,Male,25 - 45,1,7,M,0
2304,Female,Less than 25,1,0,F,0
2305,Male,25 - 45,0,10,M,1
2306,Male,Less than 25,0,,F,0
2307,Male,25 - 45,1,5,F,1
2308,Male,25 - 45,0,,M,0
2313,Male,Greater than 45,0,1,F,0
2314,,Greater than 45,0,5,F,0
2315,Female,Less than 25,1,0,F,0
2317,Female,25 - 45,0,2,F,0
2318,Male,25 - 45,0,,F,1
2319,Male,Greater than 45,0,1,M,0
2320,Male,25 - 45,0,2,F,0
2321,Male,25 - 45,0,0,F,1
2322,Male,Less than 25,1,1,F,0
2323,Male,25 - 45,1,3,F,0
2324,Male,Less than 25,0,0,F,0
2326,Male,Less than 25,0,,F,1
2327,Female,25 - 45,0,4,F,1
2332,Male,Less than 25,1,1,F,1
2333,Male,25 - 45,0,0,M,0
2334,Male,Greater than 45,0,3,F,0
2337,Male,25 - 45,0,4,F,0
2340,Male,25 - 45,1,8,F,1
2341,Male,Less than 25,0,1,F,0
2342,Male,25 - 45,0,9,F,0
2343,Male,25 - 45,0,0,M,1
2344,Male,25 - 45,0,1,M,1
2345,Male,25 - 45,1,1,F,0
2347,Male,Greater than 45,0,4,F,0
2348,Male,25 - 45,1,4,F,0
2351,,25 - 45,0,0,M,0
2352,Male,Greater than 45,0,1,M,1
2354,Male,Greater than 45,0,,F,0
2356,Male,Greater than 45,0,0,F,0
2357,Male,Less than 25,0,3,M,1
2358,Male,25 - 45,1,1,F,0
2360,Female,25 - 45,1,10,M,1
2364,Male,25 - 45,1,0,F,0
2365,Male,Greater than 45,0,3,M,1
2366,Male,Greater than 45,0,10,F,0
2367,Male,25 - 45,1,1,F,1
2369,Male,25 - 45,1,4,M,0
2370,Male,25 - 45,0,10,F,1
2371,Male,25 - 45,1,4,F,0
2372,Female,Greater than 45,0,0,M,0
2373,Male,25 - 45,1,3,M,0
2374,Male,Less than 25,1,1,F,1
2375,Male,Greater than 45,0,0,F,0
2376,Male,25 - 45,0,16,M,0
2378,Male,Less than 25,1,0,F,1
2379,,Greater than 45,0,0,F,0
2380,Female,25 - 45,0,0,M,0
2381,Male,25 - 45,0,0,F,0
2382,Female,Less than 25,1,2,F,0
2383,,Greater than 45,1,7,F,0
2384,Male,25 - 45,1,0,M,0
2385,Male,25 - 45,0,0,M,0
2388,Male,25 - 45,0,0,M,0
2389,Male,25 - 45,0,11,F,1
2392,Male,25 - 45,1,4,F,1
2393,Male,25 - 45,1,1,F,1
2394,,25 - 45,1,0,F,0
2395,Male,Greater than 45,1,1,F,0
2399,Male,Greater than 45,0,1,F,0
2406,Male,25 - 45,1,4,M,0
2407,Female,25 - 45,0,,F,1
2408,Male,25 - 45,0,0,M,0
2410,Female,25 - 45,1,0,F,0
2411,Male,25 - 45,1,9,F,1
2412,Male,Greater than 45,1,1,F,0
2413,Male,25 - 45,0,1,F,0
2414,Female,Greater than 45,0,0,M,1
2415,Female,Greater than 45,1,8,F,0
2416,Male,25 - 45,1,5,F,1
2417,Male,25 - 45,1,1,M,1
2418,Male,Greater than 45,1,13,F,1
2421,Male,Less than 25,1,,M,0
2422,Male,Less than 25,1,1,F,0
2423,Male,Greater than 45,0,0,M,0
2424,Male,Greater than 45,0,0,F,0
2425,Male,25 - 45,0,1,F,0
2426,Male,Less than 25,1,1,F,1
2427,Male,Greater than 45,1,30,F,0
2428,Male,Greater than 45,0,5,F,1
2429,Male,Greater than 45,0,,M,0
2431,Male,Greater than 45,0,2,M,0
2432,Female,25 - 45,1,1,F,0
2433,Female,25 - 45,1,0,F,0
2434,Male,Less than 25,1,1,F,1
2435,Male,25 - 45,0,0,F,1
2436,Male,Greater than 45,1,2,F,0
2437,Male,25 - 45,1,,F,1
2438,Male,Greater than 45,0,1,M,0
2439,Male,Greater than 45,1,4,F,0
2441,Male,Greater than 45,0,33,F,1
2442,Female,Greater than 45,0,1,F,0
2443,Male,Less than 25,1,1,M,1
2445,Male,Less than 25,1,4,F,1
2451,Male,25 - 45,0,4,F,0
2452,Female,25 - 45,0,0,F,0
2453,Male,25 - 45,0,,F,0
2454,Male,Greater than 45,0,,M,0
2456,Male,25 - 45,1,15,F,0
2458,Male,Less than 25,1,1,F,0
2460,Male,25 - 45,0,2,F,1
2461,Male,25 - 45,0,1,M,0
2462,Male,25 - 45,1,,F,1
2463,Male,25 - 45,1,18,M,1
2464,Male,Less than 25,1,,F,1
2465,Male,25 - 45,0,1,F,1
2467,Female,25 - 45,1,14,F,0
2470,Male,25 - 45,0,0,F,1
2471,Male,Less than 25,0,0,M,1
2472,Male,25 - 45,0,2,F,1
2473,,25 - 45,1,1,M,0
2474,Male,Greater than 45,0,0,M,0
2475,Male,25 - 45,1,5,F,1
2476,Male,Less than 25,0,3,F,1
2478,,Greater than 45,0,0,M,0
2479,Female,25 - 45,0,0,M,0
2480,Male,25 - 45,0,1,M,1
2482,Male,Less than 25,0,2,M,0
2483,Male,25 - 45,1,14,F,0
2484,Male,25 - 45,1,16,F,1
2485,Male,25 - 45,0,0,F,0
2486,Male,Less than 25,0,1,M,0
2488,Male,25 - 45,0,0,F,0
2489,Male,25 - 45,0,0,F,0
2490,Male,25 - 45,0,1,F,0
2491,,Greater than 45,0,,F,0
2492,Male,25 - 45,0,,F,1
2493,,Greater than 45,1,,F,1
2496,Male,25 - 45,1,8,F,1
2497,Male,Greater than 45,0,0,M,0
2499,Male,25 - 45,1,1,M,0
2500,Male,25 - 45,0,0,F,1
2501,Female,25 - 45,0,1,M,1
2502,Male,25 - 45,0,9,M,1
2503,Male,Greater than 45,1,2,F,1
2505,,25 - 45,1,2,F,0
2507,Female,Less than 25,1,4,M,1
2508,Male,Less than 25,1,1,M,0
2512,,Greater than 45,1,6,M,1
2513,Male,25 - 45,0,8,F,1
2514,Female,25 - 45,1,0,M,0
2515,Male,Less than 25,0,0,F,1
2517,Female,Greater than 45,0,0,M,0
2518,Male,Greater than 45,0,0,F,0
2519,Male,Greater than 45,1,1,M,0
2521,Male,25 - 45,1,5,F,0
2522,Male,Greater than 45,0,1,F,0
2526,Male,25 - 45,1,5,F,1
2528,Male,Less than 25,1,1,F,1
2529,Male,Greater than 45,0,3,M,0
2531,Female,25 - 45,1,0,F,0
2532,Female,25 - 45,1,3,F,1
2534,Male,Greater than 45,0,0,M,0
2535,Male,25 - 45,0,0,M,0
2536,Male,25 - 45,0,0,M,0
2537,Male,Greater than 45,0,0,M,0
2540,Male,25 - 45,1,0,M,0
2541,Male,25 - 45,1,9,F,1
2542,Male,Less than 25,0,1,F,0
2543,Male,25 - 45,0,0,M,0
2544,Male,Greater than 45,1,0,F,1
2546,Male,Less than 25,0,0,F,0
2547,,Greater than 45,0,0,F,1
2548,Male,Greater than 45,0,2,M,1
2549,Female,Greater than 45,1,5,F,0
2553,Male,25 - 45,0,0,F,1
2554,Male,Greater than 45,0,2,F,0
2555,Male,25 - 45,1,11,F,1
2556,Male,25 - 45,0,5,M,0
2557,Female,25 - 45,1,1,F,1
2559,Male,25 - 45,1,13,F,1
2561,Male,25 - 45,0,13,F,1
2564,Male,25 - 45,0,4,M,0
2565,Male,Less than 25,1,0,F,0
2566,Male,25 - 45,1,,F,1
2569,Female,25 - 45,1,13,F,0
2570,Male,Less than 25,1,,F,1
2572,Male,Greater than 45,0,2,M,0
2574,Male,Greater than 45,1,7,F,0
2576,,25 - 45,1,6,M,1
2577,Male,25 - 45,0,3,F,0
2579,Male,25 - 45,0,0,M,0
2580,Male,25 - 45,1,1,F,1
2582,Male,25 - 45,1,1,F,1
2584,Male,Less than 25,1,1,F,0
2585,Male,25 - 45,0,,F,1
2586,Male,25 - 45,0,0,M,0
2588,Male,25 - 45,0,0,F,0
2589,Male,25 - 45,1,0,F,0
2591,Male,Greater than 45,0,1,F,0
2592,Male,Greater than 45,0,0,M,0
2593,,Greater than 45,1,14,F,1
2594,Male,Less than 25,1,1,F,1
2595,Male,25 - 45,0,6,M,0
2596,Female,Greater than 45,0,2,F,1
2597,Male,25 - 45,1,7,F,0
2598,Male,25 - 45,0,1,M,0
2600,,Greater than 45,0,0,M,0
2601,Female,Less than 25,0,1,F,0
2602,Male,25 - 45,0,0,M,0
2603,Male,25 - 45,1,0,M,1
2605,Male,25 - 45,1,0,F,0
2606,Male,25 - 45,0,0,M,0
2608,Male,25 - 45,0,2,F,1
2609,Female,25 - 45,1,0,M,1
2616,Male,Less than 25,1,1,F,1
2617,Male,25 - 45,1,0,F,1
2618,Male,Greater than 45,1,2,F,1
2621,Male,25 - 45,1,0,F,1
2623,Male,25 - 45,0,,M,0
2625,Male,25 - 45,0,4,M,0
2626,Male,Greater than 45,0,1,F,0
2627,Male,Less than 25,1,3,M,1
2628,Male,Less than 25,1,0,F,0
2629,Male,25 - 45,0,0,F,0
2630,Male,Less than 25,1,1,F,0
2631,Male,25 - 45,0,7,M,1
2632,Male,25 - 45,1,11,F,1
2633,Male,25 - 45,0,4,F,0
2634,Male,Greater than 45,1,0,M,0
2637,Female,Less than 25,0,2,F,0
2638,Female,25 - 45,0,0,M,0
2639,Female,25 - 45,1,2,F,1
2643,Male,Greater than 45,1,0,M,0
2644,Male,25 - 45,0,2,M,0
2645,Male,25 - 45,1,0,F,0
2648,Male,Less than 25,0,3,M,1
2649,,Greater than 45,0,19,F,1
2652,Female,Greater than 45,0,1,F,1
2653,Female,Less than 25,1,1,M,0
2654,Male,25 - 45,0,3,F,1
2655,,Less than 25,0,4,F,1
2656,Male,25 - 45,1,,F,0
2658,Male,Greater than 45,0,1,M,0
2661,Female,Greater than 45,0,,M,0
2662,Male,25 - 45,0,0,F,0
2663,Male,25 - 45,0,4,F,1
2664,Female,25 - 45,0,2,F,0
2665,Male,Less than 25,0,3,F,1
2666,Male,25 - 45,0,3,M,1
2667,Female,Greater than 45,0,0,M,0
2668,Male,Less than 25,0,3,F,1
2669,Male,25 - 45,1,2,M,0
2670,Male,25 - 45,1,,F,0
2671,Male,25 - 45,0,0,M,0
2672,Male,25 - 45,1,13,F,0
2673,Male,25 - 45,1,6,F,0
2676,Male,25 - 45,0,,F,0
2677,Male,Less than 25,0,0,F,1
2679,Male,25 - 45,1,10,F,0
2680,Male,Greater than 45,0,1,F,0
2681,Male,25 - 45,1,13,M,1
2682,Female,25 - 45,1,6,M,0
2684,Male,25 - 45,1,4,F,1
2685,Male,Less than 25,1,1,M,0
2686,Male,Less than 25,0,3,M,1
2687,Male,25 - 45,1,,M,1
2689,Male,Greater than 45,1,0,F,1
2690,Male,25 - 45,0,7,F,1
2691,Male,25 - 45,0,6,F,1
2694,Male,Less than 25,1,1,F,0
2695,Male,25 - 45,1,1,F,1
2696,Female,Greater than 45,0,1,M,0
2697,Male,25 - 45,0,6,F,1
2698,Male,Greater than 45,0,7,F,1
2699,Male,25 - 45,0,2,M,0
2701,Female,25 - 45,0,0,F,0
2702,Male,Greater than 45,0,1,F,0
2703,Female,25 - 45,1,3,F,0
2704,Male,25 - 45,1,0,F,1
2705,Female,Less than 25,1,0,M,1
2707,Male,Greater than 45,0,0,F,0
2709,Male,25 - 45,1,5,F,1
2710,Male,25 - 45,1,0,F,0
2711,Male,Less than 25,0,3,M,1
2712,Male,25 - 45,1,14,M,1
2713,Female,25 - 45,0,1,M,0
2714,Male,25 - 45,1,5,F,0
2715,Male,Greater than 45,1,,F,0
2717,Male,Less than 25,1,3,F,1
2724,Male,25 - 45,0,1,F,1
2725,Female,25 - 45,0,1,M,1
2726,Male,Greater than 45,1,0,M,1
2728,Female,25 - 45,0,0,M,1
2729,Female,25 - 45,0,4,F,0
2731,Male,Greater than 45,0,10,F,0
2732,Male,25 - 45,0,2,M,0
2733,Male,25 - 45,0,,F,1
2734,Male,Less than 25,1,0,F,0
2736,Male,25 - 45,0,0,F,0
2737,Male,Less than 25,1,0,F,1
2739,Male,25 - 45,1,26,F,1
2740,Male,25 - 45,0,0,F,0
2741,Male,Greater than 45,0,0,F,0
2742,Male,25 - 45,0,19,F,1
2744,Male,Greater than 45,0,0,F,0
2745,Female,25 - 45,0,1,F,1
2747,Male,25 - 45,1,9,F,1
2748,Female,25 - 45,0,2,F,0
2749,Male,25 - 45,1,3,M,1
2751,Male,25 - 45,1,7,F,0
2752,Female,25 - 45,1,0,M,1
2753,Female,25 - 45,1,0,F,0
2754,Male,25 - 45,1,22,F,1
2755,Male,Less than 25,0,2,F,0
2756,Male,25 - 45,1,8,M,1
2757,Male,25 - 45,0,2,F,0
2758,,25 - 45,1,7,F,0
2759,Female,25 - 45,0,0,F,1
2763,Male,25 - 45,0,2,F,1
2766,Female,25 - 45,1,9,F,1
2767,Male,25 - 45,1,,F,1
2768,Male,25 - 45,0,3,F,1
2770,Male,25 - 45,0,4,F,1
2771,Male,Less than 25,0,2,F,1
2773,Male,25 - 45,1,,M,1
2774,Male,25 - 45,1,2,M,0
2780,Male,25 - 45,0,3,M,1
2781,Male,25 - 45,1,,M,0
2782,Male,25 - 45,1,3,M,0
2784,Female,25 - 45,1,0,F,0
2785,Male,Greater than 45,0,2,M,0
2786,Male,Greater than 45,1,12,M,0
2787,Male,25 - 45,0,0,F,0
2788,Male,25 - 45,1,0,F,1
2789,Male,25 - 45,1,4,M,1
2790,Male,25 - 45,0,0,M,0
2792,,25 - 45,1,,F,1
2793,Male,Greater than 45,1,9,F,0
2795,Male,25 - 45,1,12,F,1
2796,Male,Less than 25,1,0,F,0
2798,Male,Greater than 45,0,1,F,0
2799,Male,Less than 25,1,0,F,1
2801,Male,25 - 45,1,4,M,0
2803,Female,Less than 25,1,2,M,1
2805,Male,Greater than 45,0,2,F,0
2810,Male,Less than 25,0,0,F,1
2812,Female,Greater than 45,0,14,F,0
2813,Male,Greater than 45,0,1,F,0
2815,Male,25 - 45,1,5,F,0
2817,Male,Less than 25,1,3,F,1
2818,Male,Less than 25,1,1,F,0
2819,Male,Less than 25,0,1,F,1
2822,Male,Greater than 45,1,6,M,1
2823,Male,Greater than 45,1,7,F,1
2824,Male,25 - 45,1,1,M,0
2825,Male,Greater than 45,0,,F,0
2829,Male,Less than 25,0,0,F,0
2830,Male,Less than 25,1,0,F,1
2831,Male,25 - 45,1,,M,0
2832,Male,25 - 45,1,1,M,1
2834,Male,Greater than 45,0,,F,1
2838,,25 - 45,0,0,F,0
2839,Male,Greater than 45,1,5,F,0
2841,Male,25 - 45,1,2,F,1
2843,Male,Less than 25,1,2,F,1
2844,Male,Greater than 45,0,1,F,1
2845,Male,Less than 25,1,0,F,1
2846,Male,25 - 45,0,5,M,1
2847,Male,Less than 25,0,0,F,0
2848,Male,25 - 45,1,1,M,1
2850,Male,Greater than 45,0,0,M,0
2852,Male,25 - 45,0,1,F,0
2855,,25 - 45,1,2,F,0
2856,Male,Greater than 45,0,0,M,0
2858,Male,25 - 45,0,1,M,1
2861,,25 - 45,0,,M,1
2862,Male,Greater than 45,0,1,M,0
2863,Male,Greater than 45,1,18,M,1
2864,Male,Less than 25,1,1,F,1
2867,Male,25 - 45,0,1,F,1
2868,Male,25 - 45,0,1,F,0
2869,Male,Greater than 45,0,0,F,0
2870,Male,25 - 45,1,3,M,0
2872,Male,Less than 25,1,0,M,0
2873,Male,Greater than 45,0,18,M,1
2874,Male,25 - 45,1,,F,1
2876,Male,Greater than 45,0,0,M,0
2877,Male,25 - 45,1,0,F,0
2879,,25 - 45,1,6,F,0
2880,Female,25 - 45,1,0,F,1
2882,Male,Greater than 45,0,0,M,1
2883,Male,25 - 45,1,3,F,0
2884,,25 - 45,0,11,F,1
2885,Male,Greater than 45,0,,F,0
2886,Male,25 - 45,0,0,M,0
2887,Male,Greater than 45,1,,M,1
2888,Male,Greater than 45,0,3,F,0
2889,Male,Greater than 45,0,3,F,0
2890,Female,Less than 25,0,0,F,0
2892,Male,25 - 45,1,0,F,0
2894,Female,25 - 45,0,0,M,0
2897,Male,Greater than 45,0,1,M,1
2898,Male,Less than 25,0,0,M,0
2900,Male,25 - 45,0,9,M,1
2902,Male,Less than 25,1,4,F,1
2903,Male,Greater than 45,0,1,M,0
2904,Female,Greater than 45,0,0,M,0
2905,Female,Less than 25,0,2,M,0
2907,Female,Greater than 45,0,1,M,0
2908,Male,Less than 25,0,6,F,0
2909,Female,25 - 45,0,0,F,0
2910,Female,25 - 45,0,2,F,0
2911,Female,Less than 25,1,1,F,0
2912,Male,Less than 25,1,2,F,1
2913,Male,25 - 45,1,0,F,0
2914,Male,Less than 25,1,0,F,0
2915,Male,Greater than 45,0,1,M,0
2916,Male,25 - 45,1,6,F,1
2917,Male,25 - 45,1,7,F,1
2920,Male,Less than 25,1,1,F,0
2921,Male,Greater than 45,0,,F,0
2923,Female,Greater than 45,0,7,F,1
2924,,25 - 45,1,3,M,0
2927,Male,Greater than 45,0,0,M,0
2928,Male,25 - 45,0,0,F,0
2929,,25 - 45,1,0,M,1
2930,Male,25 - 45,1,0,M,0
2934,Male,25 - 45,0,9,F,1
2935,,Greater than 45,1,15,F,0
2937,Male,Less than 25,1,3,F,1
2938,Male,Less than 25,0,2,F,1
2940,Male,25 - 45,1,1,F,1
2943,Female,Greater than 45,1,0,F,0
2944,Male,Less than 25,1,1,F,0
2945,Male,Less than 25,1,,F,0
2946,Male,25 - 45,0,10,F,1
2947,Male,25 - 45,1,5,F,0
2949,Male,Greater than 45,0,1,M,0
2950,Male,25 - 45,1,1,M,1
2951,Male,Less than 25,1,2,F,1
2952,Male,Less than 25,0,0,F,0
2955,Male,Less than 25,1,0,F,1
2956,Male,Greater than 45,0,2,M,0
2957,Male,Greater than 45,1,1,F,0
2958,Male,Less than 25,1,0,F,1
2960,Male,Greater than 45,1,20,F,0
2961,Male,Greater than 45,0,1,M,1
2962,Female,Less than 25,1,0,F,0
2964,Female,25 - 45,1,3,F,1
2965,Female,25 - 45,0,0,F,0
2966,Male,Less than 25,0,0,F,0
2968,Male,25 - 45,0,5,F,1
2971,,Less than 25,0,3,F,1
2973,Female,25 - 45,0,1,F,0
2975,,25 - 45,0,3,F,0
2977,Male,25 - 45,1,0,F,1
2979,Male,Less than 25,1,1,F,0
2982,Female,25 - 45,1,3,M,0
2983,,25 - 45,0,3,F,0
2984,Male,25 - 45,0,0,F,0
2985,Male,25 - 45,1,2,M,1
2987,Male,25 - 45,1,9,M,0
2988,Female,25 - 45,1,0,F,1
2990,Female,25 - 45,1,1,M,0
2992,Male,Less than 25,0,0,F,1
2993,Male,25 - 45,0,5,M,0
2994,Male,25 - 45,0,9,F,1
2995,Female,25 - 45,0,1,F,0
2996,Male,Greater than 45,1,0,F,1
2998,Male,Greater than 45,1,10,F,0
2999,Female,Greater than 45,1,7,M,0
3000,Male,Greater than 45,0,3,M,0
3002,,25 - 45,0,0,M,1
3005,,25 - 45,0,9,F,0
3006,Male,Less than 25,1,0,M,1
3008,,25 - 45,1,5,F,1
3009,Male,Greater than 45,1,,M,1
3010,Male,25 - 45,1,5,F,0
3012,Male,25 - 45,1,2,F,0
3015,Male,Less than 25,1,1,F,1
3016,Male,Greater than 45,0,0,M,0
3017,Male,25 - 45,1,7,F,1
3019,Male,25 - 45,0,4,F,1
3020,Female,25 - 45,1,2,F,0
3021,Female,Less than 25,1,2,M,0
3022,Male,Less than 25,1,4,F,1
3023,Male,25 - 45,0,0,M,1
3024,Male,Less than 25,1,,F,0
3025,Male,25 - 45,0,0,F,0
3028,Male,25 - 45,0,5,F,0
3029,Female,Less than 25,0,1,F,0
3030,Male,Greater than 45,0,0,M,1
3031,Male,25 - 45,0,1,F,0
3032,Male,Greater than 45,0,0,M,1
3034,,25 - 45,0,0,M,1
3035,Female,Less than 25,1,1,F,1
3036,Male,25 - 45,1,2,F,1
3039,Female,25 - 45,0,1,M,0
3040,Male,25 - 45,1,12,M,1
3042,Male,Less than 25,0,1,M,0
3043,Male,25 - 45,0,1,F,0
3045,Male,25 - 45,1,0,F,0
3046,Male,Less than 25,1,1,F,1
3047,Male,25 - 45,0,10,M,0
3048,,25 - 45,0,2,M,1
3050,,Greater than 45,0,0,M,0
3051,Male,Less than 25,1,0,F,0
3052,Male,25 - 45,1,,M,0
3053,Female,25 - 45,0,0,F,0
3054,,Greater than 45,0,5,F,1
3057,Female,Greater than 45,0,1,F,0
3058,Female,25 - 45,0,0,M,0
3060,Male,Greater than 45,0,20,F,1
3061,Male,25 - 45,1,1,M,0
3062,Male,Less than 25,1,0,M,1
3065,,Greater than 45,1,6,F,0
3066,Male,25 - 45,0,0,M,0
3068,Male,Less than 25,1,1,F,1
3069,Male,25 - 45,0,1,M,0
3071,Male,25 - 45,0,,M,1
3072,Male,25 - 45,1,9,M,1
3074,Male,25 - 45,1,1,M,0
3075,Male,Greater than 45,0,0,M,0
3076,Male,25 - 45,0,2,M,0
3081,Male,Less than 25,1,1,F,1
3082,Male,25 - 45,0,17,F,0
3084,Male,25 - 45,0,2,F,1
3085,Male,Greater than 45,1,3,M,1
3086,Female,Greater than 45,0,0,F,1
3087,Male,Less than 25,1,,M,1
3088,Male,25 - 45,1,4,F,0
3089,Female,25 - 45,0,9,F,1
3090,Female,25 - 45,1,1,F,0
3092,Male,25 - 45,1,12,F,1
3093,,25 - 45,0,1,F,0
3094,,25 - 45,0,0,M,0
3095,,25 - 45,0,3,F,0
3096,Male,Less than 25,1,2,F,1
3097,Male,25 - 45,0,0,M,0
3099,Female,Greater than 45,1,,F,0
3101,Male,Less than 25,0,1,F,1
3102,Male,Less than 25,1,0,F,1
3103,,Less than 25,1,0,F,0
3104,Male,Less than 25,1,0,F,0
3108,Male,25 - 45,1,12,F,0
3109,Female,25 - 45,1,0,M,0
3110,Male,Greater than 45,0,1,F,0
3111,,25 - 45,0,4,F,0
3113,Male,Greater than 45,1,1,F,0
3115,Male,25 - 45,1,1,F,1
3116,Male,Greater than 45,0,11,F,1
3118,Male,Less than 25,0,1,F,0
3119,Female,Less than 25,1,2,F,0
3120,,Greater than 45,0,3,F,0
3121,Male,25 - 45,0,2,F,1
3122,Male,25 - 45,0,3,F,0
3123,Male,25 - 45,0,1,F,0
3125,Male,Less than 25,1,1,F,0
3126,Male,Greater than 45,0,0,M,0
3127,Male,25 - 45,0,3,F,1
3129,Male,Greater than 45,0,0,F,1
3130,Male,Less than 25,0,2,F,0
3131,,25 - 45,0,1,F,1
3132,Male,25 - 45,1,15,F,0
3133,Male,25 - 45,1,0,F,0
3134,Male,25 - 45,1,10,F,1
3136,Male,25 - 45,0,6,M,1
3137,Male,25 - 45,1,9,F,1
3138,Male,Greater than 45,1,2,F,0
3140,Male,25 - 45,0,9,F,0
3141,Female,25 - 45,1,10,F,1
3143,Male,Greater than 45,0,7,F,0
3145,Male,25 - 45,1,0,F,1
3146,Male,Greater than 45,1,23,F,1
3147,Female,25 - 45,0,8,F,1
3148,Male,Greater than 45,0,,F,0
3149,Female,Less than 25,0,,M,0
3150,Female,25 - 45,1,2,F,0
3151,Male,25 - 45,1,2,M,1
